k	chi
0	0.0
1	0.9989423396673842
2	0.9815244459725571
4	0.9667482462346021
8	0.9501896419561344
16	0.9506303784413085
32	0.900860650141987
64	0.8517636432464175
128	0.8164618804048847
256	0.7849724617574746
512	0.6778637879929712
1024	0.633337755964442
2048	0.5004830454297822
4096	0.3028246822836494
8192	0.1667801710598785
16384	0.1103771091992968
32768	0.13169905877236762
65536	0.0633252324159371
131072	0.09417325723602188
262144	0.05390636818332872
524288	0.031106561472707153
1048576	0.024240165599588585
2097152	0.01870010563373573
4194304	0.023260687170707495
